class,clean_logit,glitched_logit,delta,abs_delta
5,-6.587747,-2.368421,4.219326,4.219326
6,-3.2584572,-1.672673,1.5857842,1.5857842
3,-9.656887,-10.6032715,-0.94638443,0.94638443
9,4.72955,3.8647432,-0.86480665,0.86480665
2,-1.1945767,-2.0201192,-0.82554245,0.82554245
1,-13.629911,-14.178698,-0.54878616,0.54878616
0,2.522987,2.935059,0.41207218,0.41207218
8,-4.7362275,-4.379904,0.35632372,0.35632372
7,0.1361767,-0.1724894,-0.3086661,0.3086661
4,4.551976,4.306609,-0.24536705,0.24536705
